avgHR,calories,duration,steps,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
148.0,1022,113.45,14898.0,16.15,11.25,320.11,p14,49.91,2020-03-21,45,181,male,190,72,No,5.57,98.0
154.0,553,62.02,7763.0,6.69,9.05,397.76,p14,52.7,2020-03-19,45,181,male,190,72,No,5.65,95.0
152.0,314,36.18,4308.0,3.71,8.92,403.6,p14,45.29,2020-03-17,45,181,male,190,72,No,7.0,93.0
146.0,442,50.0,6463.0,5.59,8.87,405.85,p14,42.1,2020-03-15,45,181,male,190,72,Yes,7.0,93.0
145.0,818,92.25,12309.0,10.65,8.97,401.16,p14,44.61,2020-03-14,45,181,male,190,72,No,8.8,93.0
158.0,326,34.97,4538.0,4.93,11.14,323.09,p14,47.13,2020-03-22,45,181,male,190,72,Yes,7.37,98.0
137.0,293,45.08,4979.0,4.29,8.79,409.69,p14,48.74,2020-03-09,45,181,male,190,72,No,5.68,91.0
142.0,638,73.22,9305.0,8.2,8.63,417.09,p14,49.9,2020-03-08,45,181,male,190,72,Yes,7.0,93.0
148.0,365,45.03,5067.0,5.04,9.75,369.28,p14,49.23,2020-01-22,45,181,male,190,72,Yes,5.5,89.0
140.0,306,44.35,4971.0,4.94,10.08,357.01,p14,48.72,2020-01-23,45,181,male,190,72,No,5.17,92.0
143.0,216,31.27,3239.0,3.19,9.95,361.73,p14,40.76,2020-01-25,45,181,male,190,72,No,9.23,92.0
152.0,333,41.22,4755.0,4.73,10.19,353.39,p14,54.96,2020-01-26,45,181,male,190,72,No,9.03,91.0
146.0,1200,131.17,18417.0,18.92,10.87,331.31,p14,45.09,2020-03-29,45,181,male,190,72,No,6.97,97.0
145.0,272,34.77,4260.0,4.36,10.42,345.33,p14,51.81,2020-03-31,45,181,male,190,72,No,5.92,98.0
149.0,295,34.55,4375.0,4.48,10.47,343.97,p14,50.78,2020-03-27,45,181,male,190,72,No,7.58,92.0
147.0,518,82.33,8057.0,7.15,9.07,397.1,p14,46.97,2020-02-08,45,181,male,190,72,Yes,8.18,96.0
140.0,538,68.53,8088.0,7.2,8.97,401.16,p14,49.78,2020-02-06,45,181,male,190,72,Yes,6.77,93.0
147.0,508,64.15,7925.0,6.94,9.12,394.7,p14,46.03,2020-02-14,45,181,male,190,72,Yes,1.1,96.0
143.0,317,44.45,5269.0,4.33,8.46,425.77,p14,55.69,2020-02-29,45,181,male,190,72,Yes,9.07,89.0
154.0,325,38.68,4751.0,3.99,8.63,417.14,p14,48.23,2020-02-26,45,181,male,190,72,No,8.6,92.0
149.0,223,35.78,3412.0,2.92,8.66,415.6,p14,63.53,2020-02-23,45,181,male,190,72,No,9.2,93.0
136.0,206,37.1,3479.0,3.02,8.73,412.45,p14,47.46,2020-02-22,45,181,male,190,72,No,7.0,93.0
149.0,335,38.83,4889.0,4.21,8.81,408.66,p14,39.01,2020-02-21,45,181,male,190,72,No,6.62,97.0
