avgHR,calories,duration,steps,startTime,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR
142.0,178,12.716666666666667,1897.0,2019-11-20 17:13:49,1.733312,8.3664,430.2925989672978,p08,48.23,2019-11-20,27,186,male,200
157.0,780,50.53333333333333,7756.0,2019-11-18 17:43:23,5.78646,6.879398019801981,523.3016013374414,p08,50.72,2019-11-18,27,186,male,200
133.0,1340,104.98333333333333,15795.0,2019-11-17 10:11:29,11.833968,6.819623619779165,527.8883704899504,p08,48.51,2019-11-17,27,186,male,200
147.0,173,12.516666666666667,1843.0,2019-11-21 17:24:18,1.782671,8.712683853459973,413.1907068532472,p08,47.66,2019-11-21,27,186,male,200
153.0,749,65.05,6922.0,2019-11-12 17:46:42,4.1465,4.941905960264901,728.4638819406084,p08,46.39,2019-11-12,27,186,male,200
144.0,224,15.216666666666667,2104.0,2019-11-12 06:48:01,1.781578,6.962774336283186,517.0352830825369,p08,47.73,2019-11-12,27,186,male,200
131.0,125,15.916666666666666,1548.0,2019-11-30 17:53:40,1.748406,10.047680511182108,358.2916471113451,p08,54.85,2019-11-30,27,186,male,200
141.0,175,12.683333333333334,1875.0,2019-11-30 15:50:37,1.785468,8.51140132450331,422.96207906869915,p08,50.78,2019-11-30,27,186,male,200
115.0,65,7.833333333333333,811.0,2019-11-27 18:30:03,0.700046,5.5899778270509985,644.0097101242325,p08,49.89,2019-11-27,27,186,male,200
151.0,128,9.333333333333334,1281.0,2019-11-27 16:54:48,1.178171,8.187567567567566,439.6910279263221,p08,45.91,2019-11-27,27,186,male,200
132.0,151,12.4,1839.0,2019-11-23 15:39:09,1.877789,9.286271604938271,387.6690401867618,p08,51.07,2019-11-23,27,186,male,200
147.0,174,12.366666666666667,1775.0,2019-11-23 14:10:20,1.720296,8.465856942496492,425.23751871224005,p08,49.72,2019-11-23,27,186,male,200
136.0,159,12.05,1851.0,2020-01-05 18:21:18,1.823234,9.10206648199446,395.51457980684427,p08,51.81,2020-01-05,27,186,male,200
142.0,178,12.75,1946.0,2020-01-06 18:40:59,1.82114,8.628330708661418,417.230182935176,p08,49.67,2020-01-06,27,186,male,200
134.0,164,15.2,1978.0,2020-02-23 11:46:46,1.940312,8.106515081206497,444.0872512956838,p08,51.5,2020-02-23,27,186,male,200
120.0,170,18.35,1993.0,2020-02-21 15:16:09,1.873804,6.774006103763988,531.4432766748843,p08,50.9,2020-02-21,27,186,male,200
127.0,106,12.6,1263.0,2020-02-18 18:05:15,1.14957,6.777383606557377,531.1784324140754,p08,39.51,2020-02-18,27,186,male,200
119.0,857,82.31666666666666,8246.0,2020-02-18 16:36:33,8.844156,6.833350717079531,526.8279280620013,p08,43.87,2020-02-18,27,186,male,200
143.0,708,52.8,8098.0,2020-02-15 12:30:01,9.748343,11.076232086239697,325.02027512337685,p08,54.52,2020-02-15,27,186,male,200
135.0,160,23.766666666666666,1969.0,2020-02-15 10:47:14,1.956578,8.29383962264151,434.0571030783248,p08,48.58,2020-02-15,27,186,male,200
143.0,584,42.166666666666664,6597.0,2020-02-13 14:49:57,8.109,11.393907473309609,315.9583319798806,p08,55.07,2020-02-13,27,186,male,200
149.0,95,8.416666666666666,1179.0,2020-02-12 21:01:39,1.346562,10.489168831168831,343.2111788783978,p08,52.56,2020-02-12,27,186,male,200
149.0,155,10.95,1639.0,2020-02-12 18:19:57,1.772312,9.846222222222222,365.6224609551323,p08,49.71,2020-02-12,27,186,male,200
105.0,139,21.783333333333335,1821.0,2020-03-06 15:17:13,1.497906,5.861469026548673,614.1805038454221,p08,46.21,2020-03-06,27,186,male,200
119.0,142,14.383333333333333,1772.0,2020-03-05 16:27:32,1.515125,6.561302884615385,548.671515902901,p08,49.42,2020-03-05,27,186,male,200
141.0,134,9.6,1470.0,2020-03-03 20:04:32,1.733351,11.080134991119005,324.905788863176,p08,52.96,2020-03-03,27,186,male,200
137.0,160,12.583333333333334,1894.0,2020-03-03 18:17:10,1.822671,8.74776,411.5339241131444,p08,50.52,2020-03-03,27,186,male,200
124.0,993,92.63333333333334,9794.0,2020-02-28 17:07:38,10.861687,7.425612420931569,484.8084973910296,p08,51.11,2020-02-28,27,186,male,200
139.0,129,10.05,1541.0,2020-02-11 19:45:36,1.690335,10.102843853820598,356.33531034319475,p08,51.6,2020-02-11,27,186,male,200
128.0,137,16.483333333333334,1618.0,2020-02-23 14:48:56,1.496281,7.517353846153847,478.8919177779415,p08,49.49,2020-02-23,27,186,male,200
146.0,151,10.766666666666667,1604.0,2020-02-01 13:14:21,1.77982,10.07722641509434,357.24115463037333,p08,51.52,2020-02-01,27,186,male,200
154.0,164,11.416666666666666,1594.0,2020-02-01 10:42:51,1.598781,8.967084112149532,401.46829838724807,p08,46.99,2020-02-01,27,186,male,200
139.0,776,61.15,8796.0,2020-01-31 16:55:07,10.22021,10.356511508951407,347.6073962635415,p08,53.24,2020-01-31,27,186,male,200
144.0,177,12.6,1776.0,2020-01-23 18:49:16,1.7505,8.341812244897959,431.56089999530275,p08,50.35,2020-01-23,27,186,male,200
139.0,183,12.55,1855.0,2020-01-21 16:33:35,1.795757,8.551504043126684,420.9785766158315,p08,48.18,2020-01-21,27,186,male,200
144.0,771,53.916666666666664,8444.0,2020-01-10 07:03:26,8.849703,9.85666192390968,365.2352112501031,p08,51.38,2020-01-10,27,186,male,200
140.0,849,64.53333333333333,9501.0,2020-01-07 18:46:39,11.151242,10.611704138851803,339.2480560044641,p08,53.89,2020-01-07,27,186,male,200
144.0,153,12.666666666666666,1736.0,2020-02-11 17:46:17,1.766453,8.92851649928264,403.20248053405527,p08,50.53,2020-02-11,27,186,male,200
139.0,227,23.616666666666667,2208.0,2020-02-02 18:06:53,1.960203,7.032395209580838,511.91662196336887,p08,48.46,2020-02-02,27,186,male,200
144.0,131,9.916666666666666,1518.0,2020-02-02 19:53:00,1.793367,10.886934232715008,330.6716035063458,p08,53.67,2020-02-02,27,186,male,200
126.0,126,10.983333333333333,1451.0,2020-02-09 09:37:34,1.329109,7.623316293929712,472.2354236917344,p08,50.35,2020-02-09,27,186,male,200
116.0,143,14.5,1746.0,2020-02-08 17:13:30,1.407617,5.755427251732102,625.496569158541,p08,52.96,2020-02-08,27,186,male,200
