weight,alcohol_consumed,user_id,date
67,No,p07,2019-12-14
67,No,p07,2019-12-15
67,No,p07,2019-12-16
67,No,p07,2019-12-17
67,No,p07,2019-12-18
67,Yes,p07,2019-12-19
67,No,p07,2019-12-20
67,No,p07,2019-12-27
67,No,p07,2019-12-28
67,No,p07,2019-12-29
67,Yes,p07,2019-12-31
67,No,p07,2020-01-07
67,No,p07,2020-01-08
67,No,p07,2020-01-09
67,No,p07,2020-01-10
67,No,p07,2019-12-10
67,No,p07,2020-01-11
67,No,p07,2019-12-09
67,Yes,p07,2019-12-07
67,Yes,p07,2019-11-16
67,Yes,p07,2019-11-17
67,No,p07,2019-11-18
67,No,p07,2019-11-19
67,No,p07,2019-11-20
67,Yes,p07,2019-11-21
67,No,p07,2019-11-22
67,Yes,p07,2019-11-23
67,No,p07,2019-11-24
67,No,p07,2019-11-25
67,No,p07,2019-11-26
67,No,p07,2019-11-27
67,No,p07,2019-11-28
67,Yes,p07,2019-11-29
67,No,p07,2019-11-30
67,No,p07,2019-12-01
67,No,p07,2019-12-02
67,No,p07,2019-12-03
67,No,p07,2019-12-04
67,No,p07,2019-12-05
67,Yes,p07,2019-12-06
67,No,p07,2019-12-08
67,No,p07,2020-01-12
67,No,p07,2019-12-22
67,No,p07,2020-02-12
67,No,p07,2020-02-06
67,No,p07,2020-02-07
67,Yes,p07,2020-03-07
67,No,p07,2020-03-08
67,Yes,p07,2020-02-08
67,No,p07,2020-03-09
67,No,p07,2020-02-09
67,No,p07,2019-11-15
67,No,p07,2020-02-10
67,No,p07,2020-02-05
67,No,p07,2020-02-11
67,No,p07,2020-02-14
67,Yes,p07,2020-02-15
67,No,p07,2020-02-16
67,No,p07,2020-02-17
67,No,p07,2020-02-18
67,No,p07,2020-02-19
67,No,p07,2020-02-20
67,No,p07,2020-02-21
67,No,p07,2020-02-22
67,No,p07,2020-01-13
67,No,p07,2020-02-04
67,No,p07,2020-02-24
67,No,p07,2020-02-03
67,No,p07,2020-03-04
67,No,p07,2020-01-14
67,No,p07,2020-01-15
67,No,p07,2020-01-16
67,No,p07,2020-01-17
67,Yes,p07,2020-01-18
67,No,p07,2020-01-20
67,No,p07,2020-01-21
67,No,p07,2020-01-22
67,No,p07,2020-01-23
67,Yes,p07,2020-01-24
67,No,p07,2020-01-19
67,No,p07,2020-01-26
67,No,p07,2020-01-27
67,No,p07,2020-01-28
67,No,p07,2020-01-29
67,No,p07,2020-01-30
67,Yes,p07,2020-01-31
67,Yes,p07,2020-02-01
67,No,p07,2020-02-02
67,No,p07,2020-01-25
67,No,p07,2020-03-02
86,Yes,p08,2020-02-22
86,No,p08,2020-01-07
86,No,p08,2020-01-11
86,No,p08,2020-01-13
86,No,p08,2020-01-21
86,No,p08,2020-01-31
86,No,p08,2020-02-08
86,No,p08,2020-02-04
86,No,p08,2020-02-05
86,No,p08,2020-02-12
86,No,p08,2020-01-04
86,Yes,p08,2020-02-02
86,Yes,p08,2020-01-01
86,No,p08,2019-12-19
86,Yes,p08,2019-12-30
86,Yes,p08,2019-12-27
86,No,p08,2019-12-23
86,Yes,p08,2019-12-22
86,No,p08,2019-12-18
86,No,p08,2020-02-23
86,No,p08,2019-12-01
86,Yes,p08,2019-12-16
86,No,p08,2020-02-25
86,No,p08,2020-02-28
86,No,p08,2020-02-26
86,No,p08,2019-12-11
86,No,p08,2019-11-12
86,No,p08,2019-11-16
86,No,p08,2019-11-17
86,No,p08,2019-11-19
86,No,p08,2019-11-21
86,Yes,p08,2019-11-24
86,No,p08,2019-11-25
86,No,p08,2019-11-27
86,Yes,p08,2019-11-30
86,No,p08,2019-12-13
86,No,p08,2019-12-03
86,No,p08,2020-03-12
86,Yes,p08,2020-03-18
86,No,p08,2020-03-20
86,No,p08,2020-03-06
86,No,p08,2020-03-31
86,No,p08,2019-12-10
86,No,p08,2019-12-07
86,No,p08,2020-03-24
86,No,p08,2020-03-03
93,No,p09,2020-02-04
93,No,p09,2020-02-18
93,No,p09,2020-02-14
93,No,p09,2020-02-13
93,No,p09,2020-02-12
93,No,p09,2020-02-11
93,No,p09,2020-02-10
93,Yes,p09,2020-02-06
93,No,p09,2020-02-05
93,No,p09,2020-01-21
93,Yes,p09,2020-02-02
93,Yes,p09,2020-02-01
93,No,p09,2020-01-27
93,No,p09,2020-01-22
93,No,p09,2020-02-20
93,No,p09,2020-01-20
93,No,p09,2020-01-19
93,Yes,p09,2020-02-03
93,No,p09,2020-02-21
93,Yes,p09,2020-02-29
93,No,p09,2020-03-20
93,Yes,p09,2020-03-17
93,Yes,p09,2020-03-08
93,Yes,p09,2020-02-23
93,Yes,p09,2020-03-07
93,No,p09,2020-03-05
93,No,p09,2020-03-04
93,Yes,p09,2020-03-02
93,No,p09,2020-01-15
93,Yes,p09,2020-02-28
93,Yes,p09,2020-03-06
93,No,p09,2019-12-07
93,Yes,p09,2019-12-06
93,No,p09,2019-12-05
93,No,p09,2019-12-03
93,Yes,p09,2019-12-01
93,No,p09,2019-11-30
93,No,p09,2019-11-28
93,No,p09,2019-11-27
93,No,p09,2019-11-26
93,No,p09,2019-11-22
93,No,p09,2019-11-21
93,No,p09,2019-11-20
93,No,p09,2019-11-19
93,No,p09,2019-11-18
93,Yes,p09,2019-11-17
93,Yes,p09,2019-11-16
93,No,p09,2019-11-25
93,Yes,p09,2019-12-09
93,No,p09,2019-12-11
93,No,p09,2020-01-08
93,No,p09,2020-01-07
93,Yes,p09,2020-01-03
93,No,p09,2019-12-31
93,Yes,p09,2019-12-27
93,No,p09,2019-12-26
93,No,p09,2019-12-25
93,Yes,p09,2019-12-19
93,Yes,p09,2019-12-15
93,Yes,p09,2019-12-14
93,No,p09,2019-12-12
93,Yes,p09,2020-01-13
93,Yes,p09,2019-12-30
93,No,p09,2020-03-30
70,Yes,p10,2019-12-28
70,Yes,p10,2019-12-29
70,Yes,p10,2020-01-01
70,No,p10,2020-01-02
70,No,p10,2020-01-03
70,Yes,p10,2020-01-04
70,Yes,p10,2020-01-05
70,Yes,p10,2019-12-27
70,No,p10,2020-01-07
70,No,p10,2020-01-10
70,Yes,p10,2020-01-12
70,No,p10,2020-01-14
70,No,p10,2020-01-09
70,Yes,p10,2019-12-26
70,No,p10,2019-12-02
70,Yes,p10,2019-12-07
70,Yes,p10,2019-12-06
70,Yes,p10,2019-12-08
70,No,p10,2019-12-10
70,No,p10,2019-12-11
70,No,p10,2019-12-12
70,Yes,p10,2019-12-13
70,Yes,p10,2019-12-14
70,Yes,p10,2019-12-15
70,Yes,p10,2019-12-18
70,Yes,p10,2019-12-20
70,Yes,p10,2019-12-21
70,Yes,p10,2019-12-22
70,Yes,p10,2019-12-23
70,Yes,p10,2019-12-25
70,No,p10,2020-01-13
70,No,p10,2020-01-16
70,No,p10,2020-01-17
70,Yes,p10,2020-01-20
70,No,p10,2020-01-21
70,Yes,p10,2020-01-23
70,Yes,p10,2020-01-24
70,Yes,p10,2020-01-25
70,Yes,p10,2020-01-26
70,No,p10,2020-01-28
70,No,p10,2019-12-05
70,No,p10,2019-12-03
70,No,p10,2019-12-16
70,Yes,p10,2019-11-16
70,Yes,p10,2019-11-18
70,No,p10,2019-11-19
70,Yes,p10,2019-11-20
70,No,p10,2019-11-21
70,No,p10,2019-11-22
70,Yes,p10,2019-11-17
70,Yes,p10,2019-11-24
70,Yes,p10,2019-11-25
70,No,p10,2019-11-26
70,No,p10,2019-11-27
70,Yes,p10,2019-11-28
70,No,p10,2019-11-29
70,Yes,p10,2019-11-23
70,Yes,p10,2019-12-01
73,No,p11,2019-12-14
73,Yes,p11,2019-12-15
73,No,p11,2019-12-17
73,No,p11,2019-12-20
73,No,p11,2020-01-05
73,No,p11,2020-01-06
73,No,p11,2020-01-07
73,No,p11,2019-12-12
73,No,p11,2019-12-28
73,Yes,p11,2019-12-10
73,No,p11,2019-11-26
73,No,p11,2019-12-06
73,No,p11,2019-12-04
73,No,p11,2019-12-03
73,Yes,p11,2019-12-02
73,Yes,p11,2019-11-29
73,No,p11,2019-11-28
73,No,p11,2019-11-27
73,No,p11,2020-01-08
73,Yes,p11,2019-11-25
73,No,p11,2019-11-22
73,No,p11,2019-11-20
73,Yes,p11,2019-12-08
73,No,p11,2020-01-28
73,No,p11,2020-01-12
73,Yes,p11,2020-03-12
73,No,p11,2020-03-13
73,No,p11,2020-03-11
73,No,p11,2020-03-06
73,No,p11,2020-03-05
73,No,p11,2020-03-03
73,No,p11,2020-03-02
73,No,p11,2020-02-27
73,No,p11,2020-02-23
73,No,p11,2020-02-22
73,No,p11,2020-02-19
73,No,p11,2020-02-18
73,No,p11,2020-02-17
73,No,p11,2020-02-16
73,No,p11,2020-02-14
73,No,p11,2020-02-11
73,No,p11,2020-02-10
73,Yes,p11,2020-02-09
73,No,p11,2020-02-06
73,No,p11,2020-02-05
73,No,p11,2020-01-30
73,No,p11,2020-01-29
73,No,p11,2020-01-21
73,No,p11,2020-01-19
73,No,p11,2020-01-17
73,Yes,p11,2020-01-16
73,No,p11,2020-01-15
73,No,p11,2020-01-14
73,No,p11,2020-01-13
73,No,p11,2020-01-10
73,Yes,p11,2019-11-19
68,No,p12,2019-11-19
68,No,p12,2020-02-05
68,No,p12,2020-02-04
68,No,p12,2020-02-03
68,No,p12,2020-01-29
68,No,p12,2020-01-28
68,No,p12,2020-01-22
68,No,p12,2020-01-21
68,No,p12,2020-01-20
68,Yes,p12,2020-01-16
68,No,p12,2020-01-14
68,No,p12,2020-01-13
68,No,p12,2020-01-12
68,No,p12,2020-01-11
68,Yes,p12,2020-01-10
68,No,p12,2020-01-09
68,No,p12,2020-02-06
68,No,p12,2020-01-08
68,Yes,p12,2020-02-07
68,No,p12,2020-02-10
68,No,p12,2020-03-31
68,No,p12,2020-03-26
68,No,p12,2020-03-21
68,No,p12,2020-03-19
68,No,p12,2020-03-17
68,No,p12,2020-03-10
68,No,p12,2020-03-05
68,No,p12,2020-03-01
68,No,p12,2020-02-27
68,No,p12,2020-02-26
68,No,p12,2020-02-24
68,No,p12,2020-02-21
68,No,p12,2020-02-20
68,No,p12,2020-02-19
68,No,p12,2020-02-13
68,No,p12,2020-02-12
68,No,p12,2020-02-11
68,No,p12,2020-02-09
68,No,p12,2020-01-07
68,No,p12,2020-01-03
68,No,p12,2020-01-05
68,No,p12,2019-12-06
68,Yes,p12,2019-12-04
68,No,p12,2019-12-03
68,No,p12,2019-12-02
68,No,p12,2019-12-01
68,No,p12,2019-11-28
68,No,p12,2019-11-27
68,No,p12,2019-12-07
68,No,p12,2019-11-26
68,No,p12,2019-11-24
68,No,p12,2019-11-23
68,No,p12,2019-11-22
68,No,p12,2019-11-21
68,No,p12,2020-01-06
68,No,p12,2019-11-18
