user_id,date,sleep,sleep_quality
p09,2020-01-04,4.58,97
p01,2020-01-04,7.65,99
p08,2020-01-04,7.1,92
p05,2020-01-04,4.7,96
p14,2020-01-04,1.48,96
p08,2020-01-05,7.17,96
p01,2020-01-05,7.17,96
p09,2020-01-05,8.07,93
p06,2020-01-05,6.63,98
p02,2020-01-05,7.73,99
p07,2020-01-05,3.57,93
p11,2020-01-05,8.1,97
p04,2020-01-05,1.42,99
p15,2020-01-05,9.72,91
p03,2020-01-05,1.92,97
p16,2020-01-05,5.72,89
p13,2020-01-05,7.45,92
p05,2020-01-05,5.43,90
p03,2020-01-06,7.13,95
p15,2020-01-06,6.85,96
p06,2020-01-06,6.0,99
p01,2020-01-06,5.3,99
p04,2020-01-06,2.65,92
p11,2020-01-06,7.13,98
p14,2020-01-06,8.05,93
p13,2020-01-06,5.97,90
p09,2020-01-06,7.95,94
p08,2020-01-06,6.65,91
p05,2020-01-06,6.42,96
p07,2020-01-06,1.35,90
p02,2020-01-06,5.5,99
p16,2020-01-06,6.1,93
p03,2020-01-07,6.92,100
p13,2020-01-07,6.85,93
p06,2020-01-07,5.02,98
p08,2020-01-07,6.5,95
p07,2020-01-07,8.5,93
p11,2020-01-07,6.53,97
p02,2020-01-07,6.35,93
p05,2020-01-07,5.95,92
p09,2020-01-07,5.77,93
p01,2020-01-07,5.25,98
p10,2020-01-07,6.43,90
p16,2020-01-07,5.57,91
p14,2020-01-07,7.9,89
p15,2020-01-07,6.67,98
p01,2020-01-08,5.45,90
p15,2020-01-08,7.3,98
p10,2020-01-08,6.38,95
p14,2020-01-08,9.4,87
p04,2020-01-08,1.53,97
p13,2020-01-08,7.02,91
p07,2020-01-08,8.55,93
p02,2020-01-08,6.98,100
p16,2020-01-08,6.15,92
p03,2020-01-08,1.22,84
p09,2020-01-08,7.58,96
p06,2020-01-08,5.37,96
p08,2020-01-08,6.88,93
p11,2020-01-08,6.53,96
p09,2020-01-09,5.8,87
p08,2020-01-09,7.4,96
p16,2020-01-09,6.22,88
p11,2020-01-09,7.37,97
p10,2020-01-09,7.47,95
p13,2020-01-09,5.93,94
p01,2020-01-09,5.8,93
p02,2020-01-09,6.28,95
p03,2020-01-09,7.22,94
p06,2020-01-09,6.13,97
p15,2020-01-09,7.78,97
p04,2020-01-09,1.32,95
p05,2020-01-09,6.13,99
p14,2020-01-09,5.87,97
p07,2020-01-09,7.4,92
